😀	ᎤᎧᏛ, ᎤᏤᏣᏍᏗ ᎤᎧᏛ, ᎤᏰᏍᎩ
💥	ᎤᏬᏟᏗ, ᏍᏓᏱ ᎤᏃᏴᎩ, ᏚᎾᏓᏛᏂᎸ
💫	ᎤᎸᏕᎯᏓ, ᎤᏬᏟᏗ, ᏃᏈᏏ
💦	ᎠᎵ, ᎠᎵ ᏧᏩᏬᏨ, ᎤᏬᏟᏗ, ᏗᏍᏚᏟᏥᏙᎲᎢ
💨	ᎠᏓᎾᏫᏍᏗᏍᎬᎢ, ᎠᏓᏫᏍᏗᏍᎬᎢ, ᎠᏗᏟ, ᎤᏬᏟᏗ
🕳️	ᎠᏔᎴᏒᎢ
💣️	ᎠᏔᏍᎩᏍᎩ, ᎤᏬᏟᏗ
💬	ᎤᏃᎴ ᎠᏲᏙᏗ, ᎤᏆᎷᏒ, ᎤᏬᏟᏗ, ᎦᏬᏂᎯᏍᏗᎢ, ᎦᏬᏂᎯᏍᏗᎢ ᎤᏃᎴ ᎠᏲᏙᏗ, ᏗᏟᏃᎮᏗᎢ
👁‍🗨	ᎠᎦᏔᎯ, ᎠᎦᏘ, ᎠᎦᏘ ᎥᎿ ᎥᎧᏁᎬᎢ ᎤᏆᎷᏒ, ᎥᎧᏁᎬᎢ ᎤᏆᎷᏒ
🗨️	ᎠᎦᏍᎦᏂ ᎦᏬᏂᎯᏍᏗᎢ ᎤᏆᎷᏒᎢ, ᎦᏬᏂᎯᏍᏗᎢ, ᏗᏟᏃᎮᏗ
🗯️	ᎠᎦᏘᏏ ᎤᎿᎸᎯ ᎤᏆᎷᏒᎢ, ᎤᎿᎸᎯ, ᎤᏃᎴ ᎠᏲᏙᏗ, ᎤᏆᎷᏒᎢ
💭	ᎠᏓᎾᏖᎸᏍᎩ ᎤᏃᎴ ᎠᏦᏔᏍᏙᏗ, ᎠᏓᏅᏖᏢᎢ, ᎤᏃᎴ ᎠᏲᏙᏗ, ᎤᏆᎷᏒᎢ, ᎤᏬᏟᏗ
💤	ᎤᏬᏟᏗ, ᎦᏟ, ᏃᏃᏃ
👋	ᎠᏐᏰᎭ, ᎠᏲᎵᎭ, ᎤᏬᏱ
👋🏻	ᎠᏐᏰᎭ, ᎠᏲᎵᎭ, ᎠᏲᎵᎭ: ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ, ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ, ᎤᏬᏱ
👋🏼	ᎠᏐᏰᎭ, ᎠᏲᎵᎭ, ᎠᏲᎵᎭ: ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ, ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ, ᎤᏬᏱ
👋🏽	ᎠᏐᏰᎭ, ᎠᏲᎵᎭ, ᎠᏲᎵᎭ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᏬᏱ
👋🏾	ᎠᏐᏰᎭ, ᎠᏲᎵᎭ, ᎠᏲᎵᎭ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᏬᏱ
👋🏿	ᎠᏐᏰᎭ, ᎠᏲᎵᎭ, ᎠᏲᎵᎭ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᏬᏱ
🤚	ᎠᏒᎵᏛᏅ ᎣᏂᏗᏢ ᎣᏬᏰᎾ, ᎣᏬᏰᏂᎣᏂᏗᏜ, ᎤᎵᏌᎳᏓᏅᎢ
🤚🏻	ᎠᏒᎵᏛᏅ ᎣᏂᏗᏢ ᎣᏬᏰᎾ, ᎠᏒᎵᏛᏅ ᎣᏂᏗᏢ ᎣᏬᏰᎾ: ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ, ᎣᏬᏰᏂᎣᏂᏗᏜ, ᎤᎵᏌᎳᏓᏅᎢ, ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ
🤚🏼	ᎠᏒᎵᏛᏅ ᎣᏂᏗᏢ ᎣᏬᏰᎾ, ᎠᏒᎵᏛᏅ ᎣᏂᏗᏢ ᎣᏬᏰᎾ: ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ, ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ, ᎣᏬᏰᏂᎣᏂᏗᏜ, ᎤᎵᏌᎳᏓᏅᎢ
🤚🏽	ᎠᏒᎵᏛᏅ ᎣᏂᏗᏢ ᎣᏬᏰᎾ, ᎠᏒᎵᏛᏅ ᎣᏂᏗᏢ ᎣᏬᏰᎾ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎣᏬᏰᏂᎣᏂᏗᏜ, ᎤᎵᏌᎳᏓᏅᎢ
🤚🏾	ᎠᏒᎵᏛᏅ ᎣᏂᏗᏢ ᎣᏬᏰᎾ, ᎠᏒᎵᏛᏅ ᎣᏂᏗᏢ ᎣᏬᏰᎾ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎣᏬᏰᏂᎣᏂᏗᏜ, ᎤᎵᏌᎳᏓᏅᎢ
🤚🏿	ᎠᏒᎵᏛᏅ ᎣᏂᏗᏢ ᎣᏬᏰᎾ, ᎠᏒᎵᏛᏅ ᎣᏂᏗᏢ ᎣᏬᏰᎾ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎣᏬᏰᏂᎣᏂᏗᏜ, ᎤᎵᏌᎳᏓᏅᎢ, ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ
🖐️	ᎢᏧᏓᎵ, ᎤᏌᎳᏓ ᎤᏬᏱ ᎢᏧᏓᎵ ᏕᎦᏰᏌᏛ, ᎤᏬᏱ, ᎦᏰᏌᏛ
🖐🏻	ᎢᏧᏓᎵ, ᎤᏌᎳᏓ ᎤᏬᏱ ᎢᏧᏓᎵ ᏕᎦᏰᏌᏛ, ᎤᏌᎳᏓ ᎤᏬᏱ ᎢᏧᏓᎵ ᏕᎦᏰᏌᏛ: ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ, ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ, ᎤᏬᏱ, ᎦᏰᏌᏛ
🖐🏼	ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ, ᎢᏧᏓᎵ, ᎤᏌᎳᏓ ᎤᏬᏱ ᎢᏧᏓᎵ ᏕᎦᏰᏌᏛ, ᎤᏌᎳᏓ ᎤᏬᏱ ᎢᏧᏓᎵ ᏕᎦᏰᏌᏛ: ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ, ᎤᏬᏱ, ᎦᏰᏌᏛ
🖐🏽	ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎢᏧᏓᎵ, ᎤᏌᎳᏓ ᎤᏬᏱ ᎢᏧᏓᎵ ᏕᎦᏰᏌᏛ, ᎤᏌᎳᏓ ᎤᏬᏱ ᎢᏧᏓᎵ ᏕᎦᏰᏌᏛ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᏬᏱ, ᎦᏰᏌᏛ
🖐🏾	ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎢᏧᏓᎵ, ᎤᏌᎳᏓ ᎤᏬᏱ ᎢᏧᏓᎵ ᏕᎦᏰᏌᏛ, ᎤᏌᎳᏓ ᎤᏬᏱ ᎢᏧᏓᎵ ᏕᎦᏰᏌᏛ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᏬᏱ, ᎦᏰᏌᏛ
🖐🏿	ᎢᏧᏓᎵ, ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᏌᎳᏓ ᎤᏬᏱ ᎢᏧᏓᎵ ᏕᎦᏰᏌᏛ, ᎤᏌᎳᏓ ᎤᏬᏱ ᎢᏧᏓᎵ ᏕᎦᏰᏌᏛ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᏬᏱ, ᎦᏰᏌᏛ
✋	ᎣᏬᏰᎾ ᎠᏌᎵᏛᏅᎢ, ᎤᏬᏱ
✋🏻	ᎣᏬᏰᎾ ᎠᏌᎵᏛᏅᎢ, ᎣᏬᏰᎾ ᎠᏌᎵᏛᏅᎢ: ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ, ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ, ᎤᏬᏱ
✋🏼	ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ, ᎣᏬᏰᎾ ᎠᏌᎵᏛᏅᎢ, ᎣᏬᏰᎾ ᎠᏌᎵᏛᏅᎢ: ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ, ᎤᏬᏱ
✋🏽	ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎣᏬᏰᎾ ᎠᏌᎵᏛᏅᎢ, ᎣᏬᏰᎾ ᎠᏌᎵᏛᏅᎢ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᏬᏱ
✋🏾	ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎣᏬᏰᎾ ᎠᏌᎵᏛᏅᎢ, ᎣᏬᏰᎾ ᎠᏌᎵᏛᏅᎢ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᏬᏱ
✋🏿	ᎣᏬᏰᎾ ᎠᏌᎵᏛᏅᎢ, ᎣᏬᏰᎾ ᎠᏌᎵᏛᏅᎢ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᏬᏱ
🖖	ᎤᏬᏱ, ᎦᏰᏌᏛ, ᏗᎪᏍᏓᏱᏗᎦᎵᏟᎩ, ᏗᎪᏍᏓᏱᏗᎦᎵᏟᎩ ᎠᏓᏲᎵᏍᏗ, ᏧᎵᏍᏆᎾᎵᏚᎦᏖᏌᎾᎸ
🖖🏻	ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ, ᎤᏬᏱ, ᎦᏰᏌᏛ, ᏗᎪᏍᏓᏱᏗᎦᎵᏟᎩ, ᏗᎪᏍᏓᏱᏗᎦᎵᏟᎩ ᎠᏓᏲᎵᏍᏗ, ᏗᎪᏍᏓᏱᏗᎦᎵᏟᎩ ᎠᏓᏲᎵᏍᏗ: ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ, ᏧᎵᏍᏆᎾᎵᏚᎦᏖᏌᎾᎸ
🖖🏼	ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ, ᎤᏬᏱ, ᎦᏰᏌᏛ, ᏗᎪᏍᏓᏱᏗᎦᎵᏟᎩ, ᏗᎪᏍᏓᏱᏗᎦᎵᏟᎩ ᎠᏓᏲᎵᏍᏗ, ᏗᎪᏍᏓᏱᏗᎦᎵᏟᎩ ᎠᏓᏲᎵᏍᏗ: ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ, ᏧᎵᏍᏆᎾᎵᏚᎦᏖᏌᎾᎸ
🖖🏽	ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᏬᏱ, ᎦᏰᏌᏛ, ᏗᎪᏍᏓᏱᏗᎦᎵᏟᎩ, ᏗᎪᏍᏓᏱᏗᎦᎵᏟᎩ ᎠᏓᏲᎵᏍᏗ, ᏗᎪᏍᏓᏱᏗᎦᎵᏟᎩ ᎠᏓᏲᎵᏍᏗ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᏧᎵᏍᏆᎾᎵᏚᎦᏖᏌᎾᎸ
🖖🏾	ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᏬᏱ, ᎦᏰᏌᏛ, ᏗᎪᏍᏓᏱᏗᎦᎵᏟᎩ, ᏗᎪᏍᏓᏱᏗᎦᎵᏟᎩ ᎠᏓᏲᎵᏍᏗ, ᏗᎪᏍᏓᏱᏗᎦᎵᏟᎩ ᎠᏓᏲᎵᏍᏗ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᏧᎵᏍᏆᎾᎵᏚᎦᏖᏌᎾᎸ
🖖🏿	ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᏬᏱ, ᎦᏰᏌᏛ, ᏗᎪᏍᏓᏱᏗᎦᎵᏟᎩ, ᏗᎪᏍᏓᏱᏗᎦᎵᏟᎩ ᎠᏓᏲᎵᏍᏗ, ᏗᎪᏍᏓᏱᏗᎦᎵᏟᎩ ᎠᏓᏲᎵᏍᏗ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᏧᎵᏍᏆᎾᎵᏚᎦᏖᏌᎾᎸ
👌	ᎣᏍᏓ, ᎣᏏᏊ ᎪᏯᏛ, ᎤᏬᏱ
👌🏻	ᎣᏍᏓ, ᎣᏏᏊ ᎪᏯᏛ, ᎣᏏᏊ ᎪᏯᏛ: ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ, ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ, ᎤᏬᏱ
👌🏼	ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ, ᎣᏍᏓ, ᎣᏏᏊ ᎪᏯᏛ, ᎣᏏᏊ ᎪᏯᏛ: ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ, ᎤᏬᏱ
👌🏽	ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎣᏍᏓ, ᎣᏏᏊ ᎪᏯᏛ, ᎣᏏᏊ ᎪᏯᏛ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᏬᏱ
👌🏾	ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎣᏍᏓ, ᎣᏏᏊ ᎪᏯᏛ, ᎣᏏᏊ ᎪᏯᏛ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᏬᏱ
👌🏿	ᎣᏍᏓ, ᎣᏏᏊ ᎪᏯᏛ, ᎣᏏᏊ ᎪᏯᏛ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᏬᏱ
🤌	ᎠᏓᎵᏍᎦᎾᏁᎯ, ᎠᏛᏛᎲᏍᎩ, ᎤᏬᏰᏂ ᎠᏌᎳᏙᏗ, ᏕᎦᏰᏌᏛ, ᏗᏓᏇᏄᎩᏍᏗ, ᏗᏓᏇᏄᎩᏍᏗ ᏕᎦᏰᏌᏛ
🤌🏻	ᎠᏓᎵᏍᎦᎾᏁᎯ, ᎠᏛᏛᎲᏍᎩ, ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ, ᎤᏬᏰᏂ ᎠᏌᎳᏙᏗ, ᏕᎦᏰᏌᏛ, ᏗᏓᏇᏄᎩᏍᏗ, ᏗᏓᏇᏄᎩᏍᏗ ᏕᎦᏰᏌᏛ: ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ
🤌🏼	ᎠᏓᎵᏍᎦᎾᏁᎯ, ᎠᏛᏛᎲᏍᎩ, ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ, ᎤᏬᏰᏂ ᎠᏌᎳᏙᏗ, ᏕᎦᏰᏌᏛ, ᏗᏓᏇᏄᎩᏍᏗ, ᏗᏓᏇᏄᎩᏍᏗ ᏕᎦᏰᏌᏛ: ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ
🤌🏽	ᎠᏓᎵᏍᎦᎾᏁᎯ, ᎠᏛᏛᎲᏍᎩ, ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᏬᏰᏂ ᎠᏌᎳᏙᏗ, ᏕᎦᏰᏌᏛ, ᏗᏓᏇᏄᎩᏍᏗ, ᏗᏓᏇᏄᎩᏍᏗ ᏕᎦᏰᏌᏛ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ
🤌🏾	ᎠᏓᎵᏍᎦᎾᏁᎯ, ᎠᏛᏛᎲᏍᎩ, ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᏬᏰᏂ ᎠᏌᎳᏙᏗ, ᏕᎦᏰᏌᏛ, ᏗᏓᏇᏄᎩᏍᏗ, ᏗᏓᏇᏄᎩᏍᏗ ᏕᎦᏰᏌᏛ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ
🤌🏿	ᎠᏓᎵᏍᎦᎾᏁᎯ, ᎠᏛᏛᎲᏍᎩ, ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᏬᏰᏂ ᎠᏌᎳᏙᏗ, ᏕᎦᏰᏌᏛ, ᏗᏓᏇᏄᎩᏍᏗ, ᏗᏓᏇᏄᎩᏍᏗ ᏕᎦᏰᏌᏛ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ
🤏	ᎦᏲᏟ, ᏗᏓᏇᏄᎩᏍᏗ ᎤᏬᏰᏂ
🤏🏻	ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ, ᎦᏲᏟ, ᏗᏓᏇᏄᎩᏍᏗ ᎤᏬᏰᏂ, ᏗᏓᏇᏄᎩᏍᏗ ᎤᏬᏰᏂ: ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ
🤏🏼	ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ, ᎦᏲᏟ, ᏗᏓᏇᏄᎩᏍᏗ ᎤᏬᏰᏂ, ᏗᏓᏇᏄᎩᏍᏗ ᎤᏬᏰᏂ: ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ
🤏🏽	ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎦᏲᏟ, ᏗᏓᏇᏄᎩᏍᏗ ᎤᏬᏰᏂ, ᏗᏓᏇᏄᎩᏍᏗ ᎤᏬᏰᏂ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ
🤏🏾	ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎦᏲᏟ, ᏗᏓᏇᏄᎩᏍᏗ ᎤᏬᏰᏂ, ᏗᏓᏇᏄᎩᏍᏗ ᎤᏬᏰᏂ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ
🤏🏿	ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎦᏲᏟ, ᏗᏓᏇᏄᎩᏍᏗ ᎤᏬᏰᏂ, ᏗᏓᏇᏄᎩᏍᏗ ᎤᏬᏰᏂ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ
✌️	v, ᎤᏓᏠᏒ, ᎤᏓᏠᏒ ᎤᏬᏱ, ᎤᏬᏰᏂ
✌🏻	v, ᎤᏓᏠᏒ, ᎤᏓᏠᏒ ᎤᏬᏱ, ᎤᏓᏠᏒ ᎤᏬᏱ: ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ, ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ, ᎤᏬᏰᏂ
✌🏼	v, ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ, ᎤᏓᏠᏒ, ᎤᏓᏠᏒ ᎤᏬᏱ, ᎤᏓᏠᏒ ᎤᏬᏱ: ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ, ᎤᏬᏰᏂ
✌🏽	v, ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᏓᏠᏒ, ᎤᏓᏠᏒ ᎤᏬᏱ, ᎤᏓᏠᏒ ᎤᏬᏱ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᏬᏰᏂ
✌🏾	v, ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᏓᏠᏒ, ᎤᏓᏠᏒ ᎤᏬᏱ, ᎤᏓᏠᏒ ᎤᏬᏱ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᏬᏰᏂ
✌🏿	v, ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᏓᏠᏒ, ᎤᏓᏠᏒ ᎤᏬᏱ, ᎤᏓᏠᏒ ᎤᏬᏱ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᏬᏰᏂ
🤞	ᎤᏢᏱᏕᏓ, ᎤᏬᏱ, ᎦᏰᏌᏛ, ᏧᏓᎿᏫᏓ, ᏧᏓᎿᏫᏓ ᏕᎦᏰᏌᏛ
🤞🏻	ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ, ᎤᏢᏱᏕᏓ, ᎤᏬᏱ, ᎦᏰᏌᏛ, ᏧᏓᎿᏫᏓ, ᏧᏓᎿᏫᏓ ᏕᎦᏰᏌᏛ, ᏧᏓᎿᏫᏓ ᏕᎦᏰᏌᏛ: ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ
🤞🏼	ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ, ᎤᏢᏱᏕᏓ, ᎤᏬᏱ, ᎦᏰᏌᏛ, ᏧᏓᎿᏫᏓ, ᏧᏓᎿᏫᏓ ᏕᎦᏰᏌᏛ, ᏧᏓᎿᏫᏓ ᏕᎦᏰᏌᏛ: ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ
🤞🏽	ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᏢᏱᏕᏓ, ᎤᏬᏱ, ᎦᏰᏌᏛ, ᏧᏓᎿᏫᏓ, ᏧᏓᎿᏫᏓ ᏕᎦᏰᏌᏛ, ᏧᏓᎿᏫᏓ ᏕᎦᏰᏌᏛ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ
🤞🏾	ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᏢᏱᏕᏓ, ᎤᏬᏱ, ᎦᏰᏌᏛ, ᏧᏓᎿᏫᏓ, ᏧᏓᎿᏫᏓ ᏕᎦᏰᏌᏛ, ᏧᏓᎿᏫᏓ ᏕᎦᏰᏌᏛ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ
🤞🏿	ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᏢᏱᏕᏓ, ᎤᏬᏱ, ᎦᏰᏌᏛ, ᏧᏓᎿᏫᏓ, ᏧᏓᎿᏫᏓ ᏕᎦᏰᏌᏛ, ᏧᏓᎿᏫᏓ ᏕᎦᏰᏌᏛ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ
🤟	ᎤᏬᏰᏂ, ᎬᎨᏳ, ᎬᎨᏳᎢ ᎤᏬᏯᏂᏍᎩ
🤟🏻	ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ, ᎤᏬᏰᏂ, ᎬᎨᏳ, ᎬᎨᏳᎢ ᎤᏬᏯᏂᏍᎩ, ᎬᎨᏳᎢ ᎤᏬᏯᏂᏍᎩ: ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ
🤟🏼	ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ, ᎤᏬᏰᏂ, ᎬᎨᏳ, ᎬᎨᏳᎢ ᎤᏬᏯᏂᏍᎩ, ᎬᎨᏳᎢ ᎤᏬᏯᏂᏍᎩ: ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ
🤟🏽	ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᏬᏰᏂ, ᎬᎨᏳ, ᎬᎨᏳᎢ ᎤᏬᏯᏂᏍᎩ, ᎬᎨᏳᎢ ᎤᏬᏯᏂᏍᎩ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ
