😀	πλατύ χαμόγελο, πρόσωπο, σαρκασμός
👆🏽	δάχτυλο, δείκτης, δείκτης χεριού προς τα επάνω ανάποδα, δείκτης χεριού προς τα επάνω ανάποδα: μεσαίος τόνος δέρματος, δείχνω, επάνω, μεσαίος τόνος δέρματος, σώμα, χέρι, χτύπημα
👆🏾	δάχτυλο, δείκτης, δείκτης χεριού προς τα επάνω ανάποδα, δείκτης χεριού προς τα επάνω ανάποδα: μεσαίος-σκούρος τόνος δέρματος, δείχνω, επάνω, μεσαίος-σκούρος τόνος δέρματος, σώμα, χέρι, χτύπημα
👆🏿	δάχτυλο, δείκτης, δείκτης χεριού προς τα επάνω ανάποδα, δείκτης χεριού προς τα επάνω ανάποδα: σκούρος τόνος δέρματος, δείχνω, επάνω, σκούρος τόνος δέρματος, σώμα, χέρι, χτύπημα
🖕	δάχτυλο, μεσαίο δάχτυλο, σώμα, χέρι
🖕🏻	ανοιχτόχρωμος τόνος δέρματος, δάχτυλο, μεσαίο δάχτυλο, μεσαίο δάχτυλο: ανοιχτόχρωμος τόνος δέρματος, σώμα, χέρι
🖕🏼	δάχτυλο, μεσαίο δάχτυλο, μεσαίο δάχτυλο: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, σώμα, χέρι
🖕🏽	δάχτυλο, μεσαίο δάχτυλο, μεσαίο δάχτυλο: μεσαίος τόνος δέρματος, μεσαίος τόνος δέρματος, σώμα, χέρι
🖕🏾	δάχτυλο, μεσαίο δάχτυλο, μεσαίο δάχτυλο: μεσαίος-σκούρος τόνος δέρματος, μεσαίος-σκούρος τόνος δέρματος, σώμα, χέρι
🖕🏿	δάχτυλο, μεσαίο δάχτυλο, μεσαίο δάχτυλο: σκούρος τόνος δέρματος, σκούρος τόνος δέρματος, σώμα, χέρι
👇️	δάχτυλο, δείκτης, δείκτης χεριού προς τα κάτω ανάποδα, δείχνω, κάτω, σώμα, χέρι, χτύπημα
👇🏻	ανοιχτόχρωμος τόνος δέρματος, δάχτυλο, δείκτης, δείκτης χεριού προς τα κάτω ανάποδα, δείκτης χεριού προς τα κάτω ανάποδα: ανοιχτόχρωμος τόνος δέρματος, δείχνω, κάτω, σώμα, χέρι, χτύπημα
👇🏼	δάχτυλο, δείκτης, δείκτης χεριού προς τα κάτω ανάποδα, δείκτης χεριού προς τα κάτω ανάποδα: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, δείχνω, κάτω, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, σώμα, χέρι, χτύπημα
👇🏽	δάχτυλο, δείκτης, δείκτης χεριού προς τα κάτω ανάποδα, δείκτης χεριού προς τα κάτω ανάποδα: μεσαίος τόνος δέρματος, δείχνω, κάτω, μεσαίος τόνος δέρματος, σώμα, χέρι, χτύπημα
👇🏾	δάχτυλο, δείκτης, δείκτης χεριού προς τα κάτω ανάποδα, δείκτης χεριού προς τα κάτω ανάποδα: μεσαίος-σκούρος τόνος δέρματος, δείχνω, κάτω, μεσαίος-σκούρος τόνος δέρματος, σώμα, χέρι, χτύπημα
👇🏿	δάχτυλο, δείκτης, δείκτης χεριού προς τα κάτω ανάποδα, δείκτης χεριού προς τα κάτω ανάποδα: σκούρος τόνος δέρματος, δείχνω, κάτω, σκούρος τόνος δέρματος, σώμα, χέρι, χτύπημα
☝️	δάχτυλο, δείκτης, δείκτης χεριού προς τα επάνω, δείχνω, επάνω, σώμα, χέρι
☝🏻	ανοιχτόχρωμος τόνος δέρματος, δάχτυλο, δείκτης, δείκτης χεριού προς τα επάνω, δείκτης χεριού προς τα επάνω: ανοιχτόχρωμος τόνος δέρματος, δείχνω, επάνω, σώμα, χέρι
☝🏼	δάχτυλο, δείκτης, δείκτης χεριού προς τα επάνω, δείκτης χεριού προς τα επάνω: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, δείχνω, επάνω, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, σώμα, χέρι
☝🏽	δάχτυλο, δείκτης, δείκτης χεριού προς τα επάνω, δείκτης χεριού προς τα επάνω: μεσαίος τόνος δέρματος, δείχνω, επάνω, μεσαίος τόνος δέρματος, σώμα, χέρι
☝🏾	δάχτυλο, δείκτης, δείκτης χεριού προς τα επάνω, δείκτης χεριού προς τα επάνω: μεσαίος-σκούρος τόνος δέρματος, δείχνω, επάνω, μεσαίος-σκούρος τόνος δέρματος, σώμα, χέρι
☝🏿	δάχτυλο, δείκτης, δείκτης χεριού προς τα επάνω, δείκτης χεριού προς τα επάνω: σκούρος τόνος δέρματος, δείχνω, επάνω, σκούρος τόνος δέρματος, σώμα, χέρι
👍️	+1, αντίχειρας, επάνω, σηκωμένος αντίχειρας, σώμα, χέρι
👍🏻	+1, ανοιχτόχρωμος τόνος δέρματος, αντίχειρας, επάνω, σηκωμένος αντίχειρας, σηκωμένος αντίχειρας: ανοιχτόχρωμος τόνος δέρματος, σώμα, χέρι
👍🏼	+1, αντίχειρας, επάνω, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, σηκωμένος αντίχειρας, σηκωμένος αντίχειρας: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, σώμα, χέρι
👍🏽	+1, αντίχειρας, επάνω, μεσαίος τόνος δέρματος, σηκωμένος αντίχειρας, σηκωμένος αντίχειρας: μεσαίος τόνος δέρματος, σώμα, χέρι
👍🏾	+1, αντίχειρας, επάνω, μεσαίος-σκούρος τόνος δέρματος, σηκωμένος αντίχειρας, σηκωμένος αντίχειρας: μεσαίος-σκούρος τόνος δέρματος, σώμα, χέρι
👍🏿	+1, αντίχειρας, επάνω, σηκωμένος αντίχειρας, σηκωμένος αντίχειρας: σκούρος τόνος δέρματος, σκούρος τόνος δέρματος, σώμα, χέρι
👎️	-1, αντίχειρας, κάτω, κατεβασμένος αντίχειρας, σώμα, χέρι
👎🏻	-1, ανοιχτόχρωμος τόνος δέρματος, αντίχειρας, κάτω, κατεβασμένος αντίχειρας, κατεβασμένος αντίχειρας: ανοιχτόχρωμος τόνος δέρματος, σώμα, χέρι
👎🏼	-1, αντίχειρας, κάτω, κατεβασμένος αντίχειρας, κατεβασμένος αντίχειρας: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, σώμα, χέρι
👎🏽	-1, αντίχειρας, κάτω, κατεβασμένος αντίχειρας, κατεβασμένος αντίχειρας: μεσαίος τόνος δέρματος, μεσαίος τόνος δέρματος, σώμα, χέρι
👎🏾	-1, αντίχειρας, κάτω, κατεβασμένος αντίχειρας, κατεβασμένος αντίχειρας: μεσαίος-σκούρος τόνος δέρματος, μεσαίος-σκούρος τόνος δέρματος, σώμα, χέρι
👎🏿	-1, αντίχειρας, κάτω, κατεβασμένος αντίχειρας, κατεβασμένος αντίχειρας: σκούρος τόνος δέρματος, σκούρος τόνος δέρματος, σώμα, χέρι
✊	γροθιά, μπουνιά, σηκωμένη γροθιά, σφιγμένο, χέρι
✊🏻	ανοιχτόχρωμος τόνος δέρματος, γροθιά, μπουνιά, σηκωμένη γροθιά, σηκωμένη γροθιά: ανοιχτόχρωμος τόνος δέρματος, σφιγμένο, χέρι
✊🏼	γροθιά, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, μπουνιά, σηκωμένη γροθιά, σηκωμένη γροθιά: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, σφιγμένο, χέρι
✊🏽	γροθιά, μεσαίος τόνος δέρματος, μπουνιά, σηκωμένη γροθιά, σηκωμένη γροθιά: μεσαίος τόνος δέρματος, σφιγμένο, χέρι
✊🏾	γροθιά, μεσαίος-σκούρος τόνος δέρματος, μπουνιά, σηκωμένη γροθιά, σηκωμένη γροθιά: μεσαίος-σκούρος τόνος δέρματος, σφιγμένο, χέρι
✊🏿	γροθιά, μπουνιά, σηκωμένη γροθιά, σηκωμένη γροθιά: σκούρος τόνος δέρματος, σκούρος τόνος δέρματος, σφιγμένο, χέρι
👊	γροθιά, μπουνιά, σφιγμένο, χέρι
👊🏻	ανοιχτόχρωμος τόνος δέρματος, γροθιά, γροθιά: ανοιχτόχρωμος τόνος δέρματος, μπουνιά, σφιγμένο, χέρι
👊🏼	γροθιά, γροθιά: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, μπουνιά, σφιγμένο, χέρι
👊🏽	γροθιά, γροθιά: μεσαίος τόνος δέρματος, μεσαίος τόνος δέρματος, μπουνιά, σφιγμένο, χέρι
👊🏾	γροθιά, γροθιά: μεσαίος-σκούρος τόνος δέρματος, μεσαίος-σκούρος τόνος δέρματος, μπουνιά, σφιγμένο, χέρι
👊🏿	γροθιά, γροθιά: σκούρος τόνος δέρματος, μπουνιά, σκούρος τόνος δέρματος, σφιγμένο, χέρι
🤛	αριστερή γροθιά, γροθιά, στα αριστερά
🤛🏻	ανοιχτόχρωμος τόνος δέρματος, αριστερή γροθιά, αριστερή γροθιά: ανοιχτόχρωμος τόνος δέρματος, γροθιά, στα αριστερά
🤛🏼	αριστερή γροθιά, αριστερή γροθιά: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, γροθιά, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, στα αριστερά
🤛🏽	αριστερή γροθιά, αριστερή γροθιά: μεσαίος τόνος δέρματος, γροθιά, μεσαίος τόνος δέρματος, στα αριστερά
🤛🏾	αριστερή γροθιά, αριστερή γροθιά: μεσαίος-σκούρος τόνος δέρματος, γροθιά, μεσαίος-σκούρος τόνος δέρματος, στα αριστερά
🤛🏿	αριστερή γροθιά, αριστερή γροθιά: σκούρος τόνος δέρματος, γροθιά, σκούρος τόνος δέρματος, στα αριστερά
🤜	γροθιά, δεξιά γροθιά, στα δεξιά
🤜🏻	ανοιχτόχρωμος τόνος δέρματος, γροθιά, δεξιά γροθιά, δεξιά γροθιά: ανοιχτόχρωμος τόνος δέρματος, στα δεξιά
🤜🏼	γροθιά, δεξιά γροθιά, δεξιά γροθιά: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, στα δεξιά
🤜🏽	γροθιά, δεξιά γροθιά, δεξιά γροθιά: μεσαίος τόνος δέρματος, μεσαίος τόνος δέρματος, στα δεξιά
